timestamp,tipo,nodo_id,temperatura,humedad,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18
2026-06-02T19:36:52.181457,p,1,22.15557,66.29324,0,5672,32,0,56,0,0,0,0,0,0,4382,7496,4660,0,0,0,0,0,0
2026-06-02T19:37:38.406574,p,1,22.15919,66.29238,0,5722,32,0,44,0,0,0,0,0,0,4396,7432,4658,0,0,0,0,0,0
2026-06-02T19:38:24.650076,p,1,22.17197,66.30554,0,5696,16,0,64,0,0,0,0,0,0,4362,7448,4664,0,0,0,0,0,0
2026-06-02T19:39:10.872843,p,1,22.1777,66.28952,0,5686,34,0,50,0,0,0,0,0,0,4396,7510,4670,0,0,0,0,0,0
2026-06-02T19:39:57.110155,p,1,22.16835,66.29486,0,5684,30,0,44,0,0,0,0,0,0,4336,7442,4634,0,0,0,0,0,0
2026-06-02T19:40:43.325654,p,1,22.17808,66.28732,0,5690,20,0,96,0,0,0,0,0,0,4394,7500,4680,0,0,0,0,0,0
2026-06-02T19:41:29.545235,p,1,22.15652,66.286,0,5746,28,0,88,0,0,0,0,0,0,4430,7518,4626,0,0,0,0,0,0
2026-06-02T19:42:15.768580,p,1,22.1611,66.31584,0,5708,12,0,48,0,0,0,0,0,0,4400,7490,4642,0,0,0,0,0,0
2026-06-02T19:43:01.987447,p,1,22.15786,66.26215,0,5726,72,0,94,0,0,0,0,0,0,4410,7480,4612,0,0,0,0,0,0
2026-06-02T19:43:48.197122,p,1,22.16702,66.28371,6,5606,38,0,96,0,0,0,0,0,0,4220,7506,4672,0,0,0,0,0,0
2026-06-02T19:44:34.418330,p,1,22.15691,66.29791,0,5690,2,0,58,0,0,0,0,0,0,4426,7470,4674,0,0,0,0,0,0
2026-06-02T19:45:20.651778,p,1,22.15252,66.28647,0,5670,16,0,44,0,0,0,0,0,0,4346,7472,4714,0,0,0,0,0,0
2026-06-02T19:46:06.877379,p,1,22.15919,66.25871,0,5712,10,0,84,0,0,0,0,0,0,4428,7472,4696,0,0,0,0,0,0
2026-06-02T19:47:33.640585,p,1,22.15157,66.26778,0,5658,26,0,74,0,0,0,0,0,0,4368,7484,4682,0,0,0,0,0,0
2026-06-02T19:48:19.867457,p,1,22.1487,66.27178,0,5724,24,0,78,0,0,0,0,0,0,4406,7480,4582,0,0,0,0,0,0
2026-06-02T19:49:06.074156,p,1,22.14737,66.2714,0,5700,16,0,70,0,0,0,0,0,0,4388,7510,4616,0,0,0,0,0,0
2026-06-02T19:49:52.277878,p,1,22.14279,66.2899,0,5654,14,0,18,0,0,0,0,0,0,4386,7486,4594,0,0,0,0,0,0
2026-06-02T19:50:38.502020,p,1,22.14603,66.26006,0,5698,22,0,68,0,0,0,0,0,0,4406,7498,4618,0,0,0,0,0,0
2026-06-02T19:51:24.739317,p,1,22.13192,66.26749,0,5732,32,0,60,0,0,0,0,0,0,4424,7518,4580,0,0,0,0,0,0
2026-06-02T19:52:10.972532,p,1,22.11666,66.28208,4,5700,54,0,74,0,0,0,0,0,0,4418,7504,4582,0,0,0,0,0,0
2026-06-02T19:52:43.499982,p,1,1,22.12124,66.24899,0,5700,32,0,86,0,0,0,0,0,0,4412,7504,4576,0,0,0,0
2026-06-02T19:53:29.722316,p,1,1,22.13097,66.25014,0,5674,2,0,56,0,0,0,0,0,0,4392,7480,4576,0,0,0,0
2026-06-02T19:54:15.936668,p,1,1,22.12772,66.2508,10,5734,2,0,34,0,0,0,0,0,0,4392,7466,4592,0,0,0,0
2026-06-02T19:55:02.167217,p,1,1,22.14317,66.24699,0,5710,12,0,54,0,0,0,0,0,0,4386,7480,4582,0,0,0,0
2026-06-02T19:55:48.361218,p,1,1,22.11533,66.24107,0,5692,30,0,30,0,0,0,0,0,0,4382,7490,4584,0,0,0,0
2026-06-02T19:56:46.472315,p,1,1,22.13287,66.2674,0,5646,10,0,84,0,0,0,0,0,0,4350,7496,4612,0,0,0,0
2026-06-02T19:57:32.707963,p,1,1,22.11685,66.22705,0,5610,6,0,48,0,0,0,0,0,0,4294,7460,4680,0,0,0,0
2026-06-02T19:58:18.906980,p,1,1,22.11227,66.25014,0,5648,2,0,34,0,0,0,0,0,0,4350,7476,4652,0,0,0,0
2026-06-02T19:59:05.115258,p,1,1,22.09034,66.27837,0,5656,10,0,62,0,0,0,0,0,0,4352,7492,4682,0,0,0,0
2026-06-02T19:59:51.335247,p,1,1,22.09015,66.22524,0,5652,30,0,94,0,0,0,0,0,0,4344,7504,4676,0,0,0,0
2026-06-02T20:00:37.559273,p,1,1,22.10522,66.21742,0,5660,28,0,60,0,0,0,0,0,0,4384,7478,4686,0,0,0,0
2026-06-02T20:01:23.753239,p,1,1,22.10159,66.24918,0,5706,32,0,54,0,0,0,0,0,0,4418,7502,4754,0,0,0,0
2026-06-02T20:02:09.971064,p,1,1,22.1283,66.20579,0,5714,34,0,44,0,0,0,0,0,0,4428,7518,4810,0,0,0,0
2026-06-02T20:02:56.188111,p,1,1,22.1117,66.24813,0,5662,8,0,40,0,0,0,0,0,0,4384,7498,4834,0,0,0,0
2026-06-02T20:03:42.407410,p,1,1,22.10026,66.24098,0,5634,4,0,56,0,0,0,0,0,0,4310,7512,4824,0,0,0,0
2026-06-02T20:04:28.645075,p,1,1,22.12868,66.23993,0,5636,36,0,48,0,0,0,0,0,0,4340,7488,4800,0,0,0,0
2026-06-02T20:09:36.406681,p,1,1,22.2744,66.21904,0,5580,0,0,0,0,0,0,0,0,0,4322,7562,0,0,0,0,0
2026-06-02T20:10:22.610692,p,1,1,22.29099,66.23669,0,5740,0,0,0,0,0,0,0,0,0,4476,7504,0,0,0,0,0
2026-06-02T20:11:08.807498,p,1,1,22.29271,66.22992,0,5682,0,0,0,0,0,0,0,0,0,4368,7514,0,0,0,0,0
2026-06-02T20:11:55.034051,p,1,1,22.28546,66.25452,0,5680,0,0,0,0,0,0,0,0,0,4388,7524,0,0,0,0,0
2026-06-02T20:12:41.245474,p,1,1,22.27764,66.22476,0,5558,0,0,0,0,0,0,0,0,0,4236,7522,0,0,0,0,0
2026-06-02T20:13:27.478359,p,1,1,22.26849,66.22247,0,5580,0,0,0,0,0,0,0,0,0,4278,7508,0,0,0,0,0
